2024-08-06T01:57:00.955186167Z I0806 01:57:00.954960       1 server.go:99] "Used resources" resources="certificatesigningrequests,configmaps,cronjobs,daemonsets,deployments,endpoints,horizontalpodautoscalers,ingresses,jobs,leases,limitranges,mutatingwebhookconfigurations,namespaces,networkpolicies,nodes,persistentvolumeclaims,persistentvolumes,poddisruptionbudgets,pods,replicasets,replicationcontrollers,resourcequotas,secrets,services,statefulsets,storageclasses,validatingwebhookconfigurations,volumeattachments"
2024-08-06T01:57:00.955217819Z I0806 01:57:00.955033       1 types.go:136] "Using all namespaces"
2024-08-06T01:57:00.955222226Z I0806 01:57:00.955046       1 server.go:121] "Metric allow-denylisting" allowDenyStatus="Excluding the following lists that were on denylist: "
2024-08-06T01:57:00.955226273Z W0806 01:57:00.955077       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-08-06T01:57:00.955965904Z I0806 01:57:00.955900       1 server.go:249] "Tested communication with server"
2024-08-06T01:57:00.960018236Z I0806 01:57:00.959967       1 server.go:254] "Run with Kubernetes cluster version" major="1" minor="27" gitVersion="v1.27.13+rke2r1" gitTreeState="clean" gitCommit="96b450c75ae3c48037f651b4777646dcca855ed0" platform="linux/amd64"
2024-08-06T01:57:00.960029425Z I0806 01:57:00.959990       1 server.go:255] "Communication with server successful"
2024-08-06T01:57:00.960198982Z I0806 01:57:00.960169       1 server.go:201] "Started metrics server" metricsServerAddress="[::]:8080"
2024-08-06T01:57:00.960212494Z I0806 01:57:00.960190       1 metrics_handler.go:97] "Autosharding disabled"
2024-08-06T01:57:00.960253602Z I0806 01:57:00.960219       1 server.go:190] "Started kube-state-metrics self metrics server" telemetryAddress="[::]:8081"
2024-08-06T01:57:00.960387060Z I0806 01:57:00.960358       1 server.go:65] levelinfomsgTLS is disabled.http2false
2024-08-06T01:57:00.960435720Z I0806 01:57:00.960412       1 server.go:65] levelinfomsgTLS is disabled.http2false
2024-08-06T01:57:00.961855423Z I0806 01:57:00.961750       1 builder.go:233] "Active resources" activeStoreNames="certificatesigningrequests,configmaps,cronjobs,daemonsets,deployments,endpoints,horizontalpodautoscalers,ingresses,jobs,leases,limitranges,mutatingwebhookconfigurations,namespaces,networkpolicies,nodes,persistentvolumeclaims,persistentvolumes,poddisruptionbudgets,pods,replicasets,replicationcontrollers,resourcequotas,secrets,services,statefulsets,storageclasses,validatingwebhookconfigurations,volumeattachments"
2024-08-06T01:57:00.964471575Z W0806 01:57:00.963857       1 reflector.go:324] pkg/mod/k8s.io/client-go@v0.24.4/tools/cache/reflector.go:167: failed to list *v2beta2.HorizontalPodAutoscaler: the server could not find the requested resource
2024-08-06T01:57:00.964491938Z E0806 01:57:00.963898       1 reflector.go:138] pkg/mod/k8s.io/client-go@v0.24.4/tools/cache/reflector.go:167: Failed to watch *v2beta2.HorizontalPodAutoscaler: failed to list *v2beta2.HorizontalPodAutoscaler: the server could not find the requested resource
2024-08-06T01:57:02.506665460Z W0806 01:57:02.506561       1 reflector.go:324] pkg/mod/k8s.io/client-go@v0.24.4/tools/cache/reflector.go:167: failed to list *v2beta2.HorizontalPodAutoscaler: the server could not find the requested resource
