2024-08-06T02:15:56.989979991Z time="2024-08-06T02:15:56Z" level=info msg="Ksmtuned controller v0.2.1 (0e0dadd) is starting"
2024-08-06T02:15:57.083976025Z W0806 02:15:57.083813       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-08-06T02:15:57.084641525Z time="2024-08-06T02:15:57Z" level=info msg="Manually update when bootup..."
2024-08-06T02:15:57.886203596Z time="2024-08-06T02:15:57Z" level=info msg="Try to update with Node: harvesterdev7, annotation update: &{NTPSyncStatus:synced CurrentNTPServers:0.suse.pool.ntp.org}"
2024-08-06T02:15:57.903984352Z time="2024-08-06T02:15:57Z" level=info msg="Start WatchDbus Signal..."
2024-08-06T02:15:57.904438134Z time="2024-08-06T02:15:57Z" level=info msg="starting metrics server"
2024-08-06T02:15:57.984172018Z time="2024-08-06T02:15:57Z" level=info msg="Watch DBus signal with interface: org.freedesktop.DBus.Properties, object path: /org/freedesktop/timedate1"
2024-08-06T02:15:57.984415004Z time="2024-08-06T02:15:57Z" level=info msg="Watch DBus signal with interface: org.freedesktop.DBus.Properties, object path: /org/freedesktop/timesync1"
2024-08-06T02:16:04.885079243Z time="2024-08-06T02:16:04Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=Ksmtuned controller"
2024-08-06T02:16:04.983855330Z time="2024-08-06T02:16:04Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=NodeConfig controller"
2024-08-06T02:16:04.984236156Z time="2024-08-06T02:16:04Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=CloudInit controller"
2024-08-06T02:16:04.984535667Z time="2024-08-06T02:16:04Z" level=info msg="Skip this round (OnChange) with NodeConfigs (harvesterdev1): &{TypeMeta:{Kind:NodeConfig APIVersion:node.harvesterhci.io/v1beta1} ObjectMeta:{Name:harvesterdev1 GenerateName: Namespace:harvester-system SelfLink: UID:ac3c5c2e-44a3-40d3-bd42-0b0cddad1da6 ResourceVersion:6512 Generation:1 CreationTimestamp:2024-08-06 01:56:40 +0000 UTC DeletionTimestamp:<nil> DeletionGracePeriodSeconds:<nil> Labels:map[] Annotations:map[AppliedConfig:{\"ntpServers\":\"0.suse.pool.ntp.org\"}] OwnerReferences:[] Finalizers:[wrangler.cattle.io/harvester-node-config-controller] ZZZ_DeprecatedClusterName: ManagedFields:[{Manager:harvester Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:spec\":{\".\":{},\"f:ntpConfigs\":{\".\":{},\"f:ntpServers\":{}}}} Subresource:} {Manager:harvester-node-manager Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:metadata\":{\"f:annotations\":{\".\":{},\"f:AppliedConfig\":{}},\"f:finalizers\":{\".\":{},\"v:\\\"wrangler.cattle.io/harvester-node-config-controller\\\"\":{}}}} Subresource:} {Manager:harvester-node-manager Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:status\":{\".\":{},\"f:ntpConditions\":{}}} Subresource:status}]} Spec:{NTPConfig:0xc00059ea10} Status:{NTPConditions:[{Type:Modified Status:False LastProbeTime:0001-01-01 00:00:00 +0000 UTC LastTransitionTime:0001-01-01 00:00:00 +0000 UTC Reason:NTPConfigModified Message:NTP config is created or modified, need to wait it to be applied} {Type:Applied Status:True LastProbeTime:0001-01-01 00:00:00 +0000 UTC LastTransitionTime:0001-01-01 00:00:00 +0000 UTC Reason:NTPConfigApplied Message:NTP config is Applied}]}}"
2024-08-06T02:16:06.286510650Z time="2024-08-06T02:16:06Z" level=info msg="Starting /v1, Kind=Node controller"
2024-08-06T02:46:47.912386854Z time="2024-08-06T02:46:47Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:03:52.166180682Z time="2024-08-06T03:03:52Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:18:52.152090182Z time="2024-08-06T03:18:52Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:38:00.406386270Z time="2024-08-06T03:38:00Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:53:00.410789164Z time="2024-08-06T03:53:00Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:12:08.671060923Z time="2024-08-06T04:12:08Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:27:08.663755340Z time="2024-08-06T04:27:08Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:46:16.905625249Z time="2024-08-06T04:46:16Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:01:16.900871145Z time="2024-08-06T05:01:16Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:20:25.148838958Z time="2024-08-06T05:20:25Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:35:25.149015306Z time="2024-08-06T05:35:25Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:54:33.425637805Z time="2024-08-06T05:54:33Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:09:33.424354716Z time="2024-08-06T06:09:33Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:28:41.700889853Z time="2024-08-06T06:28:41Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:43:41.656710999Z time="2024-08-06T06:43:41Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:02:49.900812100Z time="2024-08-06T07:02:49Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:17:49.897576500Z time="2024-08-06T07:17:49Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:36:58.141903343Z time="2024-08-06T07:36:58Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:51:58.160862800Z time="2024-08-06T07:51:58Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:11:06.419042170Z time="2024-08-06T08:11:06Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:26:06.408287720Z time="2024-08-06T08:26:06Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:45:14.656681007Z time="2024-08-06T08:45:14Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:00:14.663369694Z time="2024-08-06T09:00:14Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:19:22.892620700Z time="2024-08-06T09:19:22Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:34:22.936745778Z time="2024-08-06T09:34:22Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:53:31.152746776Z time="2024-08-06T09:53:31Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:08:31.143474792Z time="2024-08-06T10:08:31Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:27:39.410110054Z time="2024-08-06T10:27:39Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:42:39.417658031Z time="2024-08-06T10:42:39Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:01:47.666805992Z time="2024-08-06T11:01:47Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:16:47.666854645Z time="2024-08-06T11:16:47Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:35:55.895867551Z time="2024-08-06T11:35:55Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:50:55.909083343Z time="2024-08-06T11:50:55Z" level=info msg="Prepare update the NTPSync Status..."
