2024-08-06T02:11:43.081979004Z time="2024-08-06T02:11:43Z" level=info msg="Ksmtuned controller v0.2.1 (0e0dadd) is starting"
2024-08-06T02:11:43.082201591Z W0806 02:11:43.082132       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-08-06T02:11:43.083062426Z time="2024-08-06T02:11:43Z" level=info msg="Manually update when bootup..."
2024-08-06T02:11:43.732918463Z time="2024-08-06T02:11:43Z" level=info msg="Try to update with Node: harvesterdev2, annotation update: &{NTPSyncStatus:synced CurrentNTPServers:0.suse.pool.ntp.org}"
2024-08-06T02:11:43.882069053Z time="2024-08-06T02:11:43Z" level=info msg="Start WatchDbus Signal..."
2024-08-06T02:11:43.882464134Z time="2024-08-06T02:11:43Z" level=info msg="starting metrics server"
2024-08-06T02:11:43.882767823Z time="2024-08-06T02:11:43Z" level=info msg="Watch DBus signal with interface: org.freedesktop.DBus.Properties, object path: /org/freedesktop/timesync1"
2024-08-06T02:11:43.882784875Z time="2024-08-06T02:11:43Z" level=info msg="Watch DBus signal with interface: org.freedesktop.DBus.Properties, object path: /org/freedesktop/timedate1"
2024-08-06T02:11:47.682785290Z time="2024-08-06T02:11:47Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=Ksmtuned controller"
2024-08-06T02:11:47.682839584Z time="2024-08-06T02:11:47Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=NodeConfig controller"
2024-08-06T02:11:47.683177791Z time="2024-08-06T02:11:47Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=CloudInit controller"
2024-08-06T02:11:47.683541387Z time="2024-08-06T02:11:47Z" level=info msg="Skip this round (OnChange) with NodeConfigs (harvesterdev1): &{TypeMeta:{Kind:NodeConfig APIVersion:node.harvesterhci.io/v1beta1} ObjectMeta:{Name:harvesterdev1 GenerateName: Namespace:harvester-system SelfLink: UID:ac3c5c2e-44a3-40d3-bd42-0b0cddad1da6 ResourceVersion:6512 Generation:1 CreationTimestamp:2024-08-06 01:56:40 +0000 UTC DeletionTimestamp:<nil> DeletionGracePeriodSeconds:<nil> Labels:map[] Annotations:map[AppliedConfig:{\"ntpServers\":\"0.suse.pool.ntp.org\"}] OwnerReferences:[] Finalizers:[wrangler.cattle.io/harvester-node-config-controller] ZZZ_DeprecatedClusterName: ManagedFields:[{Manager:harvester Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:spec\":{\".\":{},\"f:ntpConfigs\":{\".\":{},\"f:ntpServers\":{}}}} Subresource:} {Manager:harvester-node-manager Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:metadata\":{\"f:annotations\":{\".\":{},\"f:AppliedConfig\":{}},\"f:finalizers\":{\".\":{},\"v:\\\"wrangler.cattle.io/harvester-node-config-controller\\\"\":{}}}} Subresource:} {Manager:harvester-node-manager Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:status\":{\".\":{},\"f:ntpConditions\":{}}} Subresource:status}]} Spec:{NTPConfig:0xc0006a4370} Status:{NTPConditions:[{Type:Modified Status:False LastProbeTime:0001-01-01 00:00:00 +0000 UTC LastTransitionTime:0001-01-01 00:00:00 +0000 UTC Reason:NTPConfigModified Message:NTP config is created or modified, need to wait it to be applied} {Type:Applied Status:True LastProbeTime:0001-01-01 00:00:00 +0000 UTC LastTransitionTime:0001-01-01 00:00:00 +0000 UTC Reason:NTPConfigApplied Message:NTP config is Applied}]}}"
2024-08-06T02:11:49.091471048Z time="2024-08-06T02:11:49Z" level=info msg="Starting /v1, Kind=Node controller"
2024-08-06T02:42:46.259992396Z time="2024-08-06T02:42:46Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T02:59:50.512350168Z time="2024-08-06T02:59:50Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:14:50.550286363Z time="2024-08-06T03:14:50Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:33:58.759486045Z time="2024-08-06T03:33:58Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:48:58.758753246Z time="2024-08-06T03:48:58Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:08:07.013419275Z time="2024-08-06T04:08:07Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:23:07.019154001Z time="2024-08-06T04:23:07Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:42:15.285801376Z time="2024-08-06T04:42:15Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:57:15.263113509Z time="2024-08-06T04:57:15Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:16:23.507896599Z time="2024-08-06T05:16:23Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:31:23.519115448Z time="2024-08-06T05:31:23Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:50:31.752248987Z time="2024-08-06T05:50:31Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:05:31.789347815Z time="2024-08-06T06:05:31Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:24:40.016523941Z time="2024-08-06T06:24:40Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:39:40.010040166Z time="2024-08-06T06:39:40Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:58:48.281419625Z time="2024-08-06T06:58:48Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:13:48.259896642Z time="2024-08-06T07:13:48Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:32:56.510635675Z time="2024-08-06T07:32:56Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:47:56.505669304Z time="2024-08-06T07:47:56Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:07:04.765811579Z time="2024-08-06T08:07:04Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:22:04.757411659Z time="2024-08-06T08:22:04Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:41:13.024202082Z time="2024-08-06T08:41:13Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:56:13.011329947Z time="2024-08-06T08:56:13Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:15:21.266238879Z time="2024-08-06T09:15:21Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:30:21.291754881Z time="2024-08-06T09:30:21Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:49:29.539805265Z time="2024-08-06T09:49:29Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:04:29.509026130Z time="2024-08-06T10:04:29Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:23:37.760223711Z time="2024-08-06T10:23:37Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:38:37.759978732Z time="2024-08-06T10:38:37Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:57:46.049114101Z time="2024-08-06T10:57:46Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:12:46.012906682Z time="2024-08-06T11:12:46Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:31:54.255196137Z time="2024-08-06T11:31:54Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:46:54.258029983Z time="2024-08-06T11:46:54Z" level=info msg="Prepare update the NTPSync Status..."
