2024-08-06T02:13:30.326524950Z time="2024-08-06T02:13:30Z" level=info msg="Ksmtuned controller v0.2.1 (0e0dadd) is starting"
2024-08-06T02:13:30.326793193Z W0806 02:13:30.326699       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-08-06T02:13:30.327757943Z time="2024-08-06T02:13:30Z" level=info msg="Manually update when bootup..."
2024-08-06T02:13:30.738278901Z time="2024-08-06T02:13:30Z" level=info msg="Try to update with Node: harvesterdev3, annotation update: &{NTPSyncStatus:synced CurrentNTPServers:0.suse.pool.ntp.org}"
2024-08-06T02:13:30.827893534Z time="2024-08-06T02:13:30Z" level=info msg="Start WatchDbus Signal..."
2024-08-06T02:13:30.828170613Z time="2024-08-06T02:13:30Z" level=info msg="starting metrics server"
2024-08-06T02:13:30.828409501Z time="2024-08-06T02:13:30Z" level=info msg="Watch DBus signal with interface: org.freedesktop.DBus.Properties, object path: /org/freedesktop/timedate1"
2024-08-06T02:13:30.828437694Z time="2024-08-06T02:13:30Z" level=info msg="Watch DBus signal with interface: org.freedesktop.DBus.Properties, object path: /org/freedesktop/timesync1"
2024-08-06T02:13:34.324923170Z time="2024-08-06T02:13:34Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=NodeConfig controller"
2024-08-06T02:13:34.325049177Z time="2024-08-06T02:13:34Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=CloudInit controller"
2024-08-06T02:13:34.325077109Z time="2024-08-06T02:13:34Z" level=info msg="Starting node.harvesterhci.io/v1beta1, Kind=Ksmtuned controller"
2024-08-06T02:13:34.325180623Z time="2024-08-06T02:13:34Z" level=info msg="Skip this round (OnChange) with NodeConfigs (harvesterdev1): &{TypeMeta:{Kind:NodeConfig APIVersion:node.harvesterhci.io/v1beta1} ObjectMeta:{Name:harvesterdev1 GenerateName: Namespace:harvester-system SelfLink: UID:ac3c5c2e-44a3-40d3-bd42-0b0cddad1da6 ResourceVersion:6512 Generation:1 CreationTimestamp:2024-08-06 01:56:40 +0000 UTC DeletionTimestamp:<nil> DeletionGracePeriodSeconds:<nil> Labels:map[] Annotations:map[AppliedConfig:{\"ntpServers\":\"0.suse.pool.ntp.org\"}] OwnerReferences:[] Finalizers:[wrangler.cattle.io/harvester-node-config-controller] ZZZ_DeprecatedClusterName: ManagedFields:[{Manager:harvester Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:spec\":{\".\":{},\"f:ntpConfigs\":{\".\":{},\"f:ntpServers\":{}}}} Subresource:} {Manager:harvester-node-manager Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:metadata\":{\"f:annotations\":{\".\":{},\"f:AppliedConfig\":{}},\"f:finalizers\":{\".\":{},\"v:\\\"wrangler.cattle.io/harvester-node-config-controller\\\"\":{}}}} Subresource:} {Manager:harvester-node-manager Operation:Update APIVersion:node.harvesterhci.io/v1beta1 Time:2024-08-06 01:56:40 +0000 UTC FieldsType:FieldsV1 FieldsV1:{\"f:status\":{\".\":{},\"f:ntpConditions\":{}}} Subresource:status}]} Spec:{NTPConfig:0xc000129300} Status:{NTPConditions:[{Type:Modified Status:False LastProbeTime:0001-01-01 00:00:00 +0000 UTC LastTransitionTime:0001-01-01 00:00:00 +0000 UTC Reason:NTPConfigModified Message:NTP config is created or modified, need to wait it to be applied} {Type:Applied Status:True LastProbeTime:0001-01-01 00:00:00 +0000 UTC LastTransitionTime:0001-01-01 00:00:00 +0000 UTC Reason:NTPConfigApplied Message:NTP config is Applied}]}}"
2024-08-06T02:13:35.927410825Z time="2024-08-06T02:13:35Z" level=info msg="Starting /v1, Kind=Node controller"
2024-08-06T02:44:38.059413482Z time="2024-08-06T02:44:38Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:01:42.323222182Z time="2024-08-06T03:01:42Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:16:42.355569906Z time="2024-08-06T03:16:42Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:35:50.561303814Z time="2024-08-06T03:35:50Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T03:50:50.558424345Z time="2024-08-06T03:50:50Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:09:58.848817454Z time="2024-08-06T04:09:58Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:24:58.839564381Z time="2024-08-06T04:24:58Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:44:07.077597761Z time="2024-08-06T04:44:07Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T04:59:07.080442473Z time="2024-08-06T04:59:07Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:18:15.320240655Z time="2024-08-06T05:18:15Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:33:15.313804066Z time="2024-08-06T05:33:15Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T05:52:23.564908055Z time="2024-08-06T05:52:23Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:07:23.566445948Z time="2024-08-06T06:07:23Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:26:31.820570849Z time="2024-08-06T06:26:31Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T06:41:31.824556532Z time="2024-08-06T06:41:31Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:00:40.070063777Z time="2024-08-06T07:00:40Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:15:40.104289742Z time="2024-08-06T07:15:40Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:34:48.318576131Z time="2024-08-06T07:34:48Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T07:49:48.305708114Z time="2024-08-06T07:49:48Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:08:56.561890873Z time="2024-08-06T08:08:56Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:23:56.579670527Z time="2024-08-06T08:23:56Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:43:04.810070470Z time="2024-08-06T08:43:04Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T08:58:04.830044128Z time="2024-08-06T08:58:04Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:17:13.086390437Z time="2024-08-06T09:17:13Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:32:13.060982602Z time="2024-08-06T09:32:13Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T09:51:21.324081128Z time="2024-08-06T09:51:21Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:06:21.304592993Z time="2024-08-06T10:06:21Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:25:29.579598863Z time="2024-08-06T10:25:29Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:40:29.580737267Z time="2024-08-06T10:40:29Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T10:59:37.813269363Z time="2024-08-06T10:59:37Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:14:37.809559268Z time="2024-08-06T11:14:37Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:33:46.113646979Z time="2024-08-06T11:33:46Z" level=info msg="Prepare update the NTPSync Status..."
2024-08-06T11:48:46.070241738Z time="2024-08-06T11:48:46Z" level=info msg="Prepare update the NTPSync Status..."
