2024-08-06T01:55:41.222510128Z I0806 01:55:41.222254       1 main.go:141] Version: v6.3.3
2024-08-06T01:55:41.226550379Z I0806 01:55:41.225915       1 main.go:190] Start NewCSISnapshotController with kubeconfig [] resyncPeriod [15m0s]
2024-08-06T01:55:41.244088721Z I0806 01:55:41.243802       1 leaderelection.go:250] attempting to acquire leader lease kube-system/snapshot-controller-leader...
2024-08-06T01:55:41.245409338Z I0806 01:55:41.245278       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:55:41.245424918Z I0806 01:55:41.245294       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:55:41.245429296Z I0806 01:55:41.245331       1 leader_election.go:185] new leader detected, current leader: snapshot-controller-65d5f465d9-ssxbd
2024-08-06T01:55:52.239393339Z I0806 01:55:52.239311       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:55:52.239417735Z I0806 01:55:52.239324       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:00.181273583Z I0806 01:56:00.181158       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:00.181315502Z I0806 01:56:00.181181       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:05.653583414Z I0806 01:56:05.653468       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:05.653627176Z I0806 01:56:05.653483       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:12.454943816Z I0806 01:56:12.454867       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:12.454962081Z I0806 01:56:12.454887       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:21.432731207Z I0806 01:56:21.432641       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:21.432749381Z I0806 01:56:21.432663       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:27.113018432Z I0806 01:56:27.112926       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:27.113035685Z I0806 01:56:27.112947       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:33.849597383Z I0806 01:56:33.849469       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:33.849624885Z I0806 01:56:33.849484       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
2024-08-06T01:56:43.628828104Z I0806 01:56:43.612127       1 leaderelection.go:354] lock is held by snapshot-controller-65d5f465d9-ssxbd and has not yet expired
2024-08-06T01:56:43.628894769Z I0806 01:56:43.612182       1 leaderelection.go:255] failed to acquire lease kube-system/snapshot-controller-leader
